Marque,Année_Velo,Kilométrage,Prix Vente (€),Prix Neuf (€),Année de la vente,Mois de la vente,Age du vélo,Décôte/neuf (%),Lien,Source,Date_Scan
Bianchi,2023,0,1149.0,2019.0,2026,June,3,43.1,https://upway.fr/products/bianchi-via-nirone-7-allroad-rr6gg7,Upway,08/06/2026
Orbea,2023,0,1199.0,1999.0,2026,June,3,40.0,https://mint-bikes.com/products/orbea-terra-h40-m,Mint,10/06/2026
Giant,2024,0,1699.0,2800.0,2026,June,2,39.3,https://mint-bikes.com/products/giant-revolt-x-1,Mint,10/06/2026
Giant,2024,0,2849.0,7599.0,2026,June,2,62.5,https://mint-bikes.com/products/giant-revolt-x-advanced-pro-0-2024-t-m,Mint,10/06/2026
Bmc,2025,0,1699.0,2499.0,2026,June,1,32.0,https://mint-bikes.com/products/bmc-urs-al-one-2025,Mint,10/06/2026
Megamo,2026,0,1326.0,1699.0,2026,June,0,22.0,https://mint-bikes.com/products/megamo-jakar-30-2026-t-s-copie,Mint,10/06/2026
Bmc,2023,0,1599.0,2399.0,2026,June,3,33.3,https://mint-bikes.com/products/bmc-urs-al-two-xs,Mint,10/06/2026
Wilier,2022,0,1449.0,2600.0,2026,June,4,44.3,https://mint-bikes.com/products/wilier-triestina-jaroon,Mint,10/06/2026
Trek,2025,0,1649.0,2499.0,2026,June,1,34.0,https://mint-bikes.com/products/trek-checkpoint-alr-5,Mint,10/06/2026
Specialized,2022,0,1999.0,4079.0,2026,June,4,51.0,https://upway.fr/products/specialized-diverge-sport-carbon-rr4jt7,Upway,15/06/2026
Scott,2022,0,1349.0,2899.0,2026,June,4,53.5,https://upway.fr/products/scott-contessa-spark-930-bfc78,Upway,15/06/2026
Bmc,2023,0,1749.0,3499.0,2026,June,3,50.0,https://upway.fr/products/bmc-urs-two-rr8zt6,Upway,15/06/2026
Ghost,2023,0,1049.0,1849.0,2026,June,3,43.3,https://upway.fr/products/ghost-road-rage-essential-rr7xc0,Upway,15/06/2026
Cannondale,2023,0,2449.0,4653.0,2026,June,3,47.4,https://upway.fr/products/cannondale-supersix-evo-neo-1-rr8fb8,Upway,15/06/2026
Orbea,2020,0,2499.0,5069.0,2026,June,6,50.7,https://upway.fr/products/orbea-orca-m20-ltd-rr8nd4,Upway,15/06/2026
Specialized,2023,0,2049.0,4133.0,2026,June,3,50.4,https://upway.fr/products/specialized-diverge-sport-carbon-rr8fb7,Upway,15/06/2026
Conway,2023,0,1649.0,3026.0,2026,June,3,45.5,https://upway.fr/products/conway-grv-100-rr7xc6,Upway,15/06/2026
Bmc,2022,0,2549.0,5294.0,2026,June,4,51.9,https://upway.fr/products/bmc-unrestricted-01-three-rr1qm1,Upway,15/06/2026
Wilier,2023,0,1749.0,3255.0,2026,June,3,46.3,https://upway.fr/products/wilier-gtr-team-disc-rr8tq7,Upway,15/06/2026
Cube,2023,0,2149.0,4416.0,2026,June,3,51.3,https://upway.fr/products/cube-agree-c62-s-rr8nl0,Upway,15/06/2026
Cannondale,2022,0,1299.0,2694.0,2026,June,4,51.8,https://upway.fr/products/cannondale-topstone-1-rr0xu8,Upway,15/06/2026
Basso,2023,0,1749.0,3400.0,2026,June,3,48.6,https://upway.fr/products/basso-tera-gravel-grx-600-rr6wu1,Upway,15/06/2026
Stevens,2023,0,1099.0,2359.0,2026,June,3,53.4,https://upway.fr/products/stevens-vapor-2x11-rr8dh7,Upway,15/06/2026
Scott,2024,0,1049.0,2066.0,2026,June,2,49.2,https://upway.fr/products/scott-speedster-gravel-40-rr8wj7,Upway,15/06/2026
Cannondale,2022,0,2199.0,5199.0,2026,June,4,57.7,https://upway.fr/products/cannondale-topstone-carbon-2-l-rr1nx4,Upway,15/06/2026
Wilier,2023,0,1099.0,2903.0,2026,June,3,62.1,https://upway.fr/products/wilier-garda-rim-rr4tr0,Upway,15/06/2026
Rose,2023,0,2199.0,4599.0,2026,June,3,52.2,https://upway.fr/products/rose-backroad-plus-grx-rx600-rr3gy4,Upway,15/06/2026
Ns,2025,0,1149.0,2388.0,2026,June,1,51.9,https://upway.fr/products/ns-bikes-rag-2-rr7mk2,Upway,15/06/2026
Wilier,2023,0,1849.0,3340.0,2026,June,3,44.6,https://upway.fr/products/wilier-garda-rr7mz6,Upway,15/06/2026
Trek,2023,0,2149.0,4602.0,2026,June,3,53.3,https://upway.fr/products/trek-fx-sport-6-carbon-rr6hj0,Upway,15/06/2026
Cube,2025,0,1749.0,2750.0,2026,June,1,36.4,https://upway.fr/products/cube-cross-race-c62-pro-rr7my4,Upway,15/06/2026
Vaast,2023,0,1249.0,3163.0,2026,June,3,60.5,https://upway.fr/products/vaast-bikes-a1-650b-rival-1-rr6dq6,Upway,15/06/2026
Bmc,2024,0,3099.0,5999.0,2026,June,2,48.3,https://mint-bikes.com/products/bmc-urs-01-four,Mint,17/06/2026
Megamo,2026,0,1104.0,1299.0,2026,June,0,15.0,https://mint-bikes.com/products/megamo-jakar-flat-bar,Mint,17/06/2026
Megamo,2026,0,1599.0,1899.0,2026,June,0,15.8,https://mint-bikes.com/products/megamo-jakar-20-2026-m,Mint,17/06/2026
Megamo,2026,0,1599.0,1899.0,2026,June,0,15.8,https://mint-bikes.com/products/megamo-jakar-2026-coral,Mint,17/06/2026
Trek,2023,0,1599.0,2999.0,2026,June,3,46.7,https://mint-bikes.com/products/trek-checkpoint-alr-5-driftless,Mint,17/06/2026
Welt,2026,0,899.0,949.0,2026,June,0,5.3,https://mint-bikes.com/products/welt-stroke-1,Mint,17/06/2026
Bmc,2023,0,1549.0,2399.0,2026,June,3,35.4,https://mint-bikes.com/products/bmc-urs-al-two-xs,Mint,17/06/2026
Megamo,2026,0,1709.0,1899.0,2026,June,0,10.0,https://mint-bikes.com/products/megamo-jakar-30-equipped,Mint,17/06/2026
Cannondale,2026,0,4299.0,7799.0,2026,June,0,44.9,https://mint-bikes.com/products/cannondale-700-u-topstone-crb-1-rle,Mint,17/06/2026
Megamo,2026,0,1104.0,1299.0,2026,June,0,15.0,https://mint-bikes.com/products/megamo-jakar-flat-bar-2026-copie,Mint,17/06/2026
Megamo,2026,0,1104.0,1299.0,2026,June,0,15.0,https://mint-bikes.com/products/megamo-jakar-flat-bar-2026,Mint,17/06/2026
Welt,2025,0,949.0,999.0,2026,June,1,5.0,https://mint-bikes.com/products/welt-voyager-1-0-2026-fiche-duplique,Mint,17/06/2026
Compel,2023,0,999.0,1399.0,2026,June,3,28.6,https://mint-bikes.com/products/compel-rxs-10-0,Mint,17/06/2026
Colnago,2025,0,3399.0,4499.0,2026,June,1,24.4,https://mint-bikes.com/products/colnago-g4-x-2025-t-52-copie,Mint,17/06/2026
Cannondale,2026,0,3899.0,7799.0,2026,June,0,50.0,https://mint-bikes.com/products/cannondale-700-u-topstone-crb-1-lefty,Mint,17/06/2026
Megamo,2026,0,2019.0,2399.0,2026,June,0,15.8,https://mint-bikes.com/products/megamo-west-15-2026-2,Mint,17/06/2026
Cervelo,2024,0,3399.0,5499.0,2026,June,2,38.2,https://mint-bikes.com/products/cervelo-aspero-5-ekar,Mint,17/06/2026
