Date Vente,Année Vente,Mois Vente,Marque,Année Vélo,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien,Source,Date_Scan,Année
,,,Cube,,259,2199,2999,https://upway.fr/products/cube-nuride-hybrid-pro-625-allroad-rr5nh7,,11/05/2026,2022.0
,,,Cube,,1 620,2099,2999,https://upway.fr/products/cube-kathmandu-hybrid-one-625-rr5rr7,,11/05/2026,2022.0
,,,Bianchi,,6 642,2149,5999,https://upway.fr/products/bianchi-eomnia-fxtype-xt-rr5al1,,11/05/2026,2022.0
,,,Raymon,,3 359,1299,2999,https://upway.fr/products/raymon-hardray-enine-40-rr5jy0,,11/05/2026,2021.0
,,,Cube,,779,1949,2549,https://upway.fr/products/cube-reaction-hybrid-one-rr6eh7,,13/05/2026,2022.0
,,,Cube,,4 673,2149,3499,https://upway.fr/products/cube-reaction-hybrid-exc-rr5lt8,,13/05/2026,2022.0
,,,Trek,,2 030,1949,4124,https://upway.fr/products/trek-powerfly-4-rr6ma2,,13/05/2026,2022.0
,,,Cube,,2 075,1599,2599,https://upway.fr/products/cube-reaction-hybrid-exc-rr5nk9,,13/05/2026,2019.0
,,,Cube,,1 015,2249,3049,https://upway.fr/products/cube-reaction-hybrid-pro-500-rr5nm4,,13/05/2026,2023.0
,,,Raymon,,2 255,2299,4759,https://upway.fr/products/raymon-crossray-fs-e-50-rr4bm7,,13/05/2026,2023.0
,,,Decathlon,,111,1199,1500,https://upway.fr/products/decathlon-expl-140-rr5qg2,,13/05/2026,2026.0
,,,Cube,,172,1999,2549,https://upway.fr/products/cube-reaction-hybrid-one-500-rr5st8,,13/05/2026,2022.0
,,,Bulls,,576,2249,4299,https://upway.fr/products/bulls-estream-evo-1-29-rr4bq3,,13/05/2026,2022.0
,,,Flyer,,5,2399,5199,https://upway.fr/products/flyer-uproc-2-210-rr5yc6,,13/05/2026,2022.0
,,,Cube,,1 051,2249,3149,https://upway.fr/products/cube-reaction-hybrid-pro-625-29-rr2wl5,,13/05/2026,2022.0
,,,Ghost,,745,1849,3330,https://upway.fr/products/ghost-hybride-htx-sport-10-ltd-rr5lg3,,13/05/2026,2022.0
,,,Rockrider,,154,1949,2499,https://upway.fr/products/rockrider-eexpl-500-s-rr5sy3,,13/05/2026,2025.0
,,,Bulls,,2 108,2099,4299,https://upway.fr/products/bulls-copperhead-evo-2-rr5hu5,,13/05/2026,2022.0
,,,Trek,,1 213,1749,3499,https://upway.fr/products/trek-powerfly-4-rr5ua4,,13/05/2026,2022.0
,,,Cube,,666,2199,2949,https://upway.fr/products/cube-reaction-hybrid-pro-625-rr5rn3,,13/05/2026,2022.0
